entity_group,entity_normalized,count,word_versions
LOCATION,,13,[]
LOCATION,-,6,['-']
LOCATION,-2,2,['-2']
LOCATION,-бе,1,['-Бе']
LOCATION,-г,1,['-Г']
LOCATION,-дабі,1,['-Дабі']
LOCATION,-клаус,1,['-Клаус']
LOCATION,-м,1,['-М']
LOCATION,-мерінованаписала7,1,['-Мерінованаписала7']
LOCATION,-муса,1,['-Муса']
LOCATION,-української,1,['-української']
LOCATION,-франківська,1,['-Франківська']
LOCATION,-франківськаруслан,1,['-ФранківськаРуслан']
LOCATION,-франківському районіпост,1,['-Франківському районіпост']
LOCATION,.,3,['.']
LOCATION,39,1,['39']
LOCATION,8,1,['8']
LOCATION,awk,1,['awk']
LOCATION,aбу-дабі,1,['Aбу-Дабі']
LOCATION,berg,1,['berg']
LOCATION,bilt,1,['Bilt']
LOCATION,boracay,2,['Boracay']
LOCATION,china,1,['China']
LOCATION,covid,1,['Covid']
LOCATION,e,1,['e']
LOCATION,exilenova,1,['Exilenova']
LOCATION,gen,1,['gen']
LOCATION,himars,1,['Himars']
LOCATION,iros,1,['iros']
LOCATION,kiwala,1,['Kiwala']
LOCATION,koksan,1,['Koksan']
LOCATION,lanos,1,['Lanos']
LOCATION,naxos,1,['Naxos']
LOCATION,osint гарбуз,1,['Osint Гарбуз']
LOCATION,patriot,1,['Patriot']
LOCATION,phi,1,['Phi']
LOCATION,philadel,1,['Philadel']
LOCATION,pushpa,1,['Pushpa']
LOCATION,reuter,1,['Reuter']
LOCATION,russia,1,['Russia']
LOCATION,sierra,1,['Sierra']
LOCATION,sparrow,1,['Sparrow']
LOCATION,sw,1,['SW']
LOCATION,telegram,1,['Telegram']
LOCATION,tomah,1,['Tomah']
LOCATION,tomahawk україні,1,['Tomahawk Україні']
LOCATION,trump tower,2,['Trump Tower']
LOCATION,ukraine,4,['Ukraine']
LOCATION,ukrainer’ом,1,['Ukrainer’ом']
LOCATION,z,1,['Z']
LOCATION,zeebrugge,1,['Zeebrugge']
LOCATION,а,25,"['А', 'а']"
LOCATION,а махна,1,['а Махна']
LOCATION,а рф,1,['а РФ']
LOCATION,а-50,1,['А-50']
LOCATION,аб,4,['Аб']
LOCATION,абу,1,['Абу']
LOCATION,абу дабі,1,['Абу Дабі']
LOCATION,абу-,1,['Абу-']
LOCATION,абу-да,1,['Абу-Да']
LOCATION,абу-дабі,48,['Абу-Дабі']
LOCATION,абу-дабі кремль,1,['Абу-Дабі Кремль']
LOCATION,абу-дабі москва,1,['Абу-Дабі Москва']
LOCATION,абу-дабі росія,1,['Абу-Дабі Росія']
LOCATION,абу-дабі україна,3,['Абу-Дабі Україна']
LOCATION,абхазія,1,['Абхазія']
LOCATION,ав,1,['Ав']
LOCATION,авдіївка,3,['Авдіївка']
LOCATION,авдіївки,23,['Авдіївки']
LOCATION,авдіївкою,3,['Авдіївкою']
LOCATION,авдіївку,14,['Авдіївку']
LOCATION,авдіївці,4,['Авдіївці']
LOCATION,австралія,4,['Австралія']
LOCATION,австралії,2,['Австралії']
LOCATION,австраліївасиль,1,['АвстраліїВасиль']
LOCATION,австрію,2,['Австрію']
LOCATION,австрія,2,['Австрія']
LOCATION,австрією,1,['Австрією']
LOCATION,австрії,12,['Австрії']
LOCATION,авто,1,['Авто']
LOCATION,агло,1,['агло']
LOCATION,агломерації,1,['агломерації']
LOCATION,агроном,1,['Агроном']
LOCATION,аеродроми,1,['аеродроми']
LOCATION,аеродромом оленья,1,['аеродромом Оленья']
LOCATION,аеродрому ханкала,1,['аеродрому Ханкала']
LOCATION,аеропорт,1,['аеропорт']
LOCATION,аеропортом імені шопена,1,['аеропортом імені Шопена']
LOCATION,аес,3,['АЕС']
LOCATION,азербайджан,7,['Азербайджан']
LOCATION,азербайджаном,1,['Азербайджаном']
LOCATION,азербайджану,5,['Азербайджану']
LOCATION,азов,2,['Азов']
LOCATION,азова,1,['Азова']
LOCATION,азовом,1,['Азовом']
LOCATION,азовсталь,10,['Азовсталь']
LOCATION,азовсталі,9,['Азовсталі']
LOCATION,азовське море,1,['Азовське море']
LOCATION,азовського,1,['Азовського']
LOCATION,азовського моря,9,['Азовського моря']
LOCATION,азовського морів,1,['Азовського морів']
LOCATION,азовському морі,2,['Азовському морі']
LOCATION,азійсько,2,['Азійсько']
LOCATION,азійсько-тихоокеанському регіоні,1,['Азійсько-Тихоокеанському регіоні']
LOCATION,азію,1,['Азію']
LOCATION,азією,1,['Азією']
LOCATION,азії,6,['Азії']
LOCATION,ак,1,['ак']
LOCATION,академмістечко арсенальна,2,['Академмістечко Арсенальна']
LOCATION,акуація,1,['акуація']
LOCATION,ал,3,['Ал']
LOCATION,ала,1,['Ала']
LOCATION,алабуга,1,['Алабуга']
LOCATION,алабуги,1,['Алабуги']
LOCATION,алабузі,2,['Алабузі']
LOCATION,албанію,1,['Албанію']
LOCATION,албанія,1,['Албанія']
LOCATION,александрії,1,['Александрії']
LOCATION,алексін,1,['Алексін']
LOCATION,алексінський,1,['Алексінський']
LOCATION,алеї,1,['Алеї']
LOCATION,алжир,1,['Алжир']
LOCATION,ались,1,['ались']
LOCATION,алопро,1,['алопро']
LOCATION,алтайський,1,['Алтайський']
LOCATION,аль,2,"['аль', 'Аль']"
LOCATION,аль-каїда,1,['Аль-Каїда']
LOCATION,альтернативу,1,['Альтернативу']
LOCATION,альян,2,['Альян']
LOCATION,альянс,1,['Альянс']
LOCATION,альянсу,4,['Альянсу']
LOCATION,альянсу україни,1,['Альянсу України']
LOCATION,альянсі,1,['Альянсі']
LOCATION,аляска,1,['Аляска']
LOCATION,аляски,4,['Аляски']
LOCATION,алясці,63,['Алясці']
LOCATION,алясці.,1,['Алясці.']
LOCATION,алєнькій,1,['Алєнькій']
LOCATION,амазоном,1,['Амазоном']
LOCATION,америка,40,['Америка']
LOCATION,американські гірки,1,['Американські гірки']
LOCATION,америки,41,['Америки']
LOCATION,америкою,13,['Америкою']
LOCATION,америку,6,['Америку']
LOCATION,америці,20,['Америці']
LOCATION,ами,2,['ами']
LOCATION,амстердама,2,['Амстердама']
LOCATION,амстор,1,['Амстор']
LOCATION,амурській областях,3,['Амурській областях']
LOCATION,амурській області,2,['Амурській області']
LOCATION,ан,2,['Ан']
LOCATION,анапі,1,['Анапі']
