entity_group,entity_normalized,count,word_versions
LOCATION,##a,1,['##a']
LOCATION,##ad,1,['##ad']
LOCATION,##ate,1,['##ate']
LOCATION,##b,1,['##b']
LOCATION,##bek zholy,1,['##bek Zholy']
LOCATION,##berg,1,['##berg']
LOCATION,##blast,1,['##blast']
LOCATION,##ciation,1,['##ciation']
LOCATION,##dom,2,['##dom']
LOCATION,##domor,1,['##domor']
LOCATION,##fo,1,['##fo']
LOCATION,##ft,1,['##ft']
LOCATION,##gram,1,['##gram']
LOCATION,##h,1,['##h']
LOCATION,##hir,1,['##hir']
LOCATION,##hiri,1,['##hiri']
LOCATION,##hy,1,['##hy']
LOCATION,##hzhia,1,['##hzhia']
LOCATION,##ka,1,['##ka']
LOCATION,##ko,2,['##ko']
LOCATION,##land,2,['##land']
LOCATION,##lier,1,['##lier']
LOCATION,##min,1,['##min']
LOCATION,##mu,2,['##mu']
LOCATION,##n,1,['##n']
LOCATION,##ne,1,['##ne']
LOCATION,##nky,1,['##nky']
LOCATION,##o,1,['##o']
LOCATION,##of,1,['##of']
LOCATION,##ol,1,['##ol']
LOCATION,##pe,2,['##pe']
LOCATION,##pen,2,['##pen']
LOCATION,##ration cathedral,4,['##ration Cathedral']
LOCATION,##ros,1,['##ros']
LOCATION,##rovsk,1,['##rovsk']
LOCATION,##s,1,['##s']
LOCATION,##shy,1,['##shy']
LOCATION,##so,1,['##so']
LOCATION,##wes,1,['##wes']
LOCATION,-,3,['-']
LOCATION,- württemberg,1,['- Württemberg']
LOCATION,- zour,1,['- Zour']
LOCATION,.,2,['.']
LOCATION,10 downing street,3,['10 Downing Street']
LOCATION,2,3,['2']
LOCATION,5,1,['5']
LOCATION,a,10,['A']
LOCATION,a2,1,['A2']
LOCATION,aachen,21,['Aachen']
LOCATION,aachenplan,1,['Aachenplan']
LOCATION,aalborg,2,['Aalborg']
LOCATION,aalborg airport,2,['Aalborg Airport']
LOCATION,aarhus,1,['Aarhus']
LOCATION,abidjan,1,['Abidjan']
LOCATION,abja,1,['Abja']
LOCATION,abkhazia,8,['Abkhazia']
LOCATION,abkhaziaon,1,['Abkhaziaon']
LOCATION,abrau,1,['Abrau']
LOCATION,abu dhabi,22,['Abu Dhabi']
LOCATION,abuja,1,['Abuja']
LOCATION,abuza,2,['Abuza']
LOCATION,accra,1,['Accra']
LOCATION,ad,1,['Ad']
LOCATION,adana,1,['Adana']
LOCATION,addis ababa,3,['Addis Ababa']
LOCATION,adriatic,1,['Adriatic']
LOCATION,adriatic sea,1,['Adriatic Sea']
LOCATION,adygea,2,['Adygea']
LOCATION,aegis ashore,1,['Aegis Ashore']
LOCATION,afghanistan,95,['Afghanistan']
LOCATION,africa,260,['Africa']
LOCATION,africaand,1,['Africaand']
LOCATION,africaand syria,1,['Africaand Syria']
LOCATION,agadez,1,['Agadez']
LOCATION,aichi prefecture,1,['Aichi Prefecture']
LOCATION,aisne,1,['Aisne']
LOCATION,akkuyu,3,['Akkuyu']
LOCATION,al bayt stadium,2,['Al Bayt Stadium']
LOCATION,alab,1,['Alab']
LOCATION,alabama,4,['Alabama']
LOCATION,alabuga,3,['Alabuga']
LOCATION,aland,1,['Aland']
LOCATION,alaska,45,['Alaska']
LOCATION,albania,26,['Albania']
LOCATION,alchevsk,3,['Alchevsk']
LOCATION,aleksandrovka,1,['Aleksandrovka']
LOCATION,aleppo,5,['Aleppo']
LOCATION,alexanderplatz,2,['Alexanderplatz']
LOCATION,algeria,36,['Algeria']
LOCATION,algiers,3,['Algiers']
LOCATION,all,1,['All']
LOCATION,all saints monastery,1,['All Saints Monastery']
LOCATION,almaty,5,['Almaty']
LOCATION,almeria,1,['Almeria']
LOCATION,alps,12,['Alps']
LOCATION,alrosa,1,['Alrosa']
LOCATION,altai,1,['Altai']
LOCATION,altmark,1,['Altmark']
LOCATION,amazon,6,['Amazon']
LOCATION,amazonhas,1,['Amazonhas']
LOCATION,america,60,['America']
LOCATION,americas,3,['Americas']
LOCATION,amman,1,['Amman']
LOCATION,amorim,1,['Amorim']
LOCATION,amsterdam,9,['Amsterdam']
LOCATION,anaklia,1,['Anaklia']
LOCATION,anapa,2,['Anapa']
LOCATION,anchorage,5,['Anchorage']
LOCATION,ancienne belgique,1,['Ancienne Belgique']
LOCATION,and,1,['and']
LOCATION,andernacher strasse,1,['Andernacher Strasse']
LOCATION,angola,11,['Angola']
LOCATION,anhalt,1,['Anhalt']
LOCATION,anhalt-bitterfeld,1,['Anhalt-Bitterfeld']
LOCATION,ankara,84,['Ankara']
LOCATION,antalya,8,['Antalya']
LOCATION,antipikha,1,['Antipikha']
LOCATION,antonivskiy bridge,1,['Antonivskiy Bridge']
LOCATION,antonivskyi,1,['Antonivskyi']
LOCATION,antonivskyi bridge,4,['Antonivskyi Bridge']
LOCATION,antonov airport,1,['Antonov Airport']
LOCATION,apartheid,1,['Apartheid']
LOCATION,apple park,1,['Apple Park']
LOCATION,arabian peninsula,2,"['Arabian Peninsula', 'Arabian peninsula']"
LOCATION,archaeological museum,2,['Archaeological Museum']
LOCATION,archang,1,['Archang']
LOCATION,archives,1,['Archives']
LOCATION,arctic,17,['Arctic']
LOCATION,arctic circle,3,['Arctic Circle']
LOCATION,arctic ocean,1,['Arctic Ocean']
LOCATION,arctic sea,2,['Arctic Sea']
LOCATION,area,2,['Area']
LOCATION,arena,1,['Arena']
LOCATION,argentina,18,['Argentina']
LOCATION,arizona,2,['Arizona']
LOCATION,arkhangelsk,3,['Arkhangelsk']
LOCATION,arkhangelsk region,1,['Arkhangelsk Region']
LOCATION,arlington national cemetery,1,['Arlington National Cemetery']
LOCATION,armageddon,1,['Armageddon']
LOCATION,armenia,71,['Armenia']
LOCATION,armyansk,1,['Armyansk']
LOCATION,arsenalna,1,['Arsenalna']
LOCATION,artemivsk,1,['Artemivsk']
LOCATION,artemovsk,5,['Artemovsk']
LOCATION,"arts, houston",1,"['Arts, Houston']"
LOCATION,artyomovsk,5,['Artyomovsk']
LOCATION,as,1,['As']
LOCATION,aschheim,1,['Aschheim']
LOCATION,ashgabat,1,['Ashgabat']
LOCATION,asia,132,['Asia']
LOCATION,asia - pacific,7,['Asia - Pacific']
LOCATION,asia-pacific,1,['Asia-Pacific']
LOCATION,asiaand africa,1,['Asiaand Africa']
LOCATION,asipovichy district,1,['Asipovichy District']
LOCATION,aspen,1,['Aspen']
LOCATION,astana,10,['Astana']
LOCATION,astrakhan,2,['Astrakhan']
LOCATION,athens,8,['Athens']
LOCATION,atlantic,34,['Atlantic']
LOCATION,atlantic ocean,2,['Atlantic Ocean']
LOCATION,au,1,['AU']
LOCATION,augsburg,1,['Augsburg']
LOCATION,aukus,1,['AUKUS']
LOCATION,aus der ukraine,1,['aus der Ukraine']
LOCATION,auschwitz,1,['Auschwitz']
LOCATION,auschwitz museum,1,['Auschwitz Museum']
LOCATION,austin,1,['Austin']
LOCATION,australia,98,['Australia']
LOCATION,austria,109,['Austria']
LOCATION,austriastill,1,['Austriastill']
