entity_group,entity_normalized,count,word_versions
LOCATION,##a,3,['##a']
LOCATION,##aa,1,['##aa']
LOCATION,##ak,1,['##ak']
LOCATION,##al,1,['##al']
LOCATION,##ani,1,['##ani']
LOCATION,##ap,1,['##AP']
LOCATION,##ar,1,['##ar']
LOCATION,##bankment,1,['##bankment']
LOCATION,##berg,2,['##berg']
LOCATION,##bility centre,1,['##bility Centre']
LOCATION,##blast,28,['##blast']
LOCATION,##ce,1,['##ce']
LOCATION,##ch,1,['##ch']
LOCATION,##chyovka,1,['##chyovka']
LOCATION,##cus city hall,1,['##cus City Hall']
LOCATION,##d,2,['##d']
LOCATION,##d avdiiv,1,['##d Avdiiv']
LOCATION,##d bobrov,1,['##d Bobrov']
LOCATION,##day,1,['##day']
LOCATION,##dmor,1,['##dmor']
LOCATION,##dom,2,['##dom']
LOCATION,##domor,1,['##domor']
LOCATION,##drome,1,['##drome']
LOCATION,##ele,1,['##ele']
LOCATION,##er,1,['##er']
LOCATION,##ester,1,['##ester']
LOCATION,##falls,2,['##falls']
LOCATION,##fic,1,['##fic']
LOCATION,##fo,2,['##fo']
LOCATION,##fra,1,['##fra']
LOCATION,##ft,1,['##ft']
LOCATION,##gh,1,['##gh']
LOCATION,##gion,1,['##gion']
LOCATION,##gorza,1,['##gorza']
LOCATION,##h,7,['##h']
LOCATION,##he donbas,1,['##he Donbas']
LOCATION,##hesk,1,['##hesk']
LOCATION,##hit kyiv,1,['##hit Kyiv']
LOCATION,##ho,1,['##ho']
LOCATION,##hold,1,['##hold']
LOCATION,##hoz,1,['##hoz']
LOCATION,##hu,1,['##hu']
LOCATION,##hulin,1,['##hulin']
LOCATION,##i,1,['##i']
LOCATION,##ight,5,['##ight']
LOCATION,##isa,1,['##isa']
LOCATION,##it bridge,2,['##it Bridge']
LOCATION,##iv,1,['##iv']
LOCATION,##ivka,2,['##ivka']
LOCATION,##iye,1,['##iye']
LOCATION,##jq,1,['##jq']
LOCATION,##k,2,['##k']
LOCATION,##ki,2,['##ki']
LOCATION,##kiy,1,['##kiy']
LOCATION,##kra,1,['##kra']
LOCATION,##ky,1,['##ky']
LOCATION,##l,1,['##l']
LOCATION,##lad,1,['##lad']
LOCATION,##las,1,['##las']
LOCATION,##ledar,1,['##ledar']
LOCATION,##leo,1,['##leo']
LOCATION,##ley,1,['##ley']
LOCATION,##lier,2,['##lier']
LOCATION,##livska borshchahivka,1,['##livska Borshchahivka']
LOCATION,##lli,1,['##lli']
LOCATION,##llia,1,['##llia']
LOCATION,##loe,1,['##loe']
LOCATION,##lov,1,['##lov']
LOCATION,##ls,1,['##ls']
LOCATION,##lske,1,['##lske']
LOCATION,##ly,2,['##ly']
LOCATION,##m,1,['##m']
LOCATION,##mas,1,['##mas']
LOCATION,##mu,25,['##mu']
LOCATION,##mut,1,['##mut']
LOCATION,##n,1,['##n']
LOCATION,##n crimea,2,['##n Crimea']
LOCATION,##nd,2,['##nd']
LOCATION,##nd street y,1,['##nd Street Y']
LOCATION,##nei,1,['##nei']
LOCATION,##nos,1,['##nos']
LOCATION,##nzhal,1,['##nzhal']
LOCATION,##o,2,['##o']
LOCATION,##o belgorod,2,['##o Belgorod']
LOCATION,##o finland,1,['##o Finland']
LOCATION,##o kaliningrad,1,['##o Kaliningrad']
LOCATION,##od,1,['##od']
LOCATION,##odonetsk,2,['##odonetsk']
LOCATION,##odvin,2,['##odvin']
LOCATION,##ol,1,['##ol']
LOCATION,##old,1,['##old']
LOCATION,##oon,1,['##oon']
LOCATION,##or,1,['##or']
LOCATION,##oro,1,['##oro']
LOCATION,##orrow,2,['##orrow']
LOCATION,##os,3,['##os']
LOCATION,##pal,1,['##pal']
LOCATION,##patoriya,1,['##patoriya']
LOCATION,##pit,2,['##pit']
LOCATION,##point,1,['##point']
LOCATION,##port,1,['##port']
LOCATION,##ports,4,['##ports']
LOCATION,##psky,1,['##psky']
LOCATION,##qua,1,['##qua']
LOCATION,##ration cathedral,12,['##ration Cathedral']
LOCATION,##ray,1,['##ray']
LOCATION,##rena,1,['##rena']
LOCATION,##rica do sul,1,['##rica do Sul']
LOCATION,##roa,4,['##roa']
LOCATION,##rot,1,['##rot']
LOCATION,##rovsk,2,['##rovsk']
