entity_group,entity_normalized,count,word_versions
LOCATION,""" fort richardson """,1,"['"" Fort Richardson ""']"
LOCATION,# praga,1,['# Praga']
LOCATION,##alabuga,1,['##Alabuga']
LOCATION,##alaskasi,1,['##Alaskasi']
LOCATION,##alekseevka,1,['##Alekseevka']
LOCATION,##alia,1,['##alia']
LOCATION,##alo - emiratino,1,['##alo - emiratino']
LOCATION,##amattina,1,['##amattina']
LOCATION,##anco este,1,['##anco Este']
LOCATION,##ankara,1,['##Ankara']
LOCATION,##anniche,1,['##anniche']
LOCATION,##arabia saudita,4,['##Arabia Saudita']
LOCATION,##arabia sauditanon,1,['##Arabia Sauditanon']
LOCATION,##atic,1,['##atic']
LOCATION,##avdiivka,2,['##Avdiivka']
LOCATION,##bakhmut,9,['##Bakhmut']
LOCATION,##bakhmutcon,1,['##Bakhmutcon']
LOCATION,##bakhmutdove,1,['##Bakhmutdove']
LOCATION,##bakhmute,1,['##Bakhmute']
LOCATION,##balashikha,1,['##Balashikha']
LOCATION,##basivkaezhuravka,1,['##BasivkaeZhuravka']
LOCATION,##belgorod,5,['##Belgorod']
LOCATION,##berdiansk,1,['##Berdiansk']
LOCATION,##berezivka,1,['##Berezivka']
LOCATION,##berlino,2,['##Berlino']
LOCATION,##bessalovkae,1,['##Bessalovkae']
LOCATION,##bielorussia,6,['##Bielorussia']
LOCATION,##bilopillia,1,['##Bilopillia']
LOCATION,##blagodatnoye,1,['##Blagodatnoye']
LOCATION,##bogodukhiv,1,['##Bogodukhiv']
LOCATION,##bristol hotel,1,['##Bristol Hotel']
LOCATION,##bruxelles,1,['##Bruxelles']
LOCATION,##bryansk,4,['##Bryansk']
LOCATION,##bryanske,1,['##Bryanske']
LOCATION,##brzeg,1,['##Brzeg']
LOCATION,##bucha,1,['##Bucha']
LOCATION,##buchaun,2,['##Buchaun']
LOCATION,##calo di aalborg,1,['##calo di Aalborg']
LOCATION,##cani,1,['##cani']
LOCATION,##canica,1,['##canica']
LOCATION,##casa bianca,2,['##Casa Bianca']
LOCATION,##ccamento,1,['##ccamento']
LOCATION,##cchia,1,['##cchia']
LOCATION,##centrale,1,['##centrale']
LOCATION,##centrale nucleare,1,['##centrale nucleare']
LOCATION,##centrale nucleare di zaporizhzhia,5,['##centrale nucleare di Zaporizhzhia']
LOCATION,##centrale nucleare ucraina,1,['##centrale nucleare ucraina']
LOCATION,##chasiv yarnella repubblica popolare di donetsk,1,['##Chasiv Yarnella Repubblica popolare di Donetsk']
LOCATION,##chassiv yar,1,['##Chassiv Yar']
LOCATION,##cherkasy,1,['##Cherkasy']
LOCATION,##chernihiv,4,['##Chernihiv']
LOCATION,##chervona zirka,1,['##Chervona Zirka']
LOCATION,##chornomorsk,1,['##Chornomorsk']
LOCATION,##clave di kaliningrad,2,['##clave di Kaliningrad']
LOCATION,##clave russa di kaliningrad,4,['##clave russa di Kaliningrad']
LOCATION,##club mosca,1,['##club Mosca']
LOCATION,##cnn,1,['##Cnn']
LOCATION,##co,1,['##co']
LOCATION,##corea del nord,2,['##Corea del Nord']
LOCATION,##cra,132,['##cra']
LOCATION,##craina,60,['##craina']
LOCATION,##crainaerussia,1,['##crainaeRussia']
LOCATION,##crainas,1,['##crainas']
LOCATION,##craine,14,['##craine']
LOCATION,##craini,2,['##craini']
LOCATION,##craino,25,['##craino']
LOCATION,##crimea,6,['##Crimea']
LOCATION,##crimeada,1,['##Crimeada']
LOCATION,##dachnoye,1,['##Dachnoye']
LOCATION,##daghestan,1,['##Daghestan']
LOCATION,##dakhi,1,['##Dakhi']
LOCATION,##danimarca,1,['##Danimarca']
LOCATION,##darinoeplekhovonella regione dikursk,1,['##DarinoePlekhovonella regione diKursk']
LOCATION,##davos,1,['##Davos']
LOCATION,##diaghilev,1,['##Diaghilev']
LOCATION,##dimitrov,1,['##Dimitrov']
LOCATION,##dinavo,1,['##dinavo']
LOCATION,##dion,1,['##dion']
LOCATION,##dnepr,1,['##Dnepr']
LOCATION,##dneproenergiya,1,['##Dneproenergiya']
LOCATION,##dniester,1,['##Dniester']
LOCATION,##dnipro,6,['##Dnipro']
LOCATION,##dniproin ucraina,1,['##Dniproin Ucraina']
LOCATION,##dnipropetrovsk,1,['##Dnipropetrovsk']
LOCATION,##dniprosi,1,['##Dniprosi']
